,YEAR,NAPFLT,GOBFLT,SERAMY,NWYAMY,GASAMY,AEGFLT,TUNAMY,NWYFLT,GASFLT,YORAMY,BUDAMY,ECHFLT,TUNFLT,BALFLT,YORFLT,SILAMY,SEVAMY,STPAMY,SEVFLT,PRUAMY,NTHFLT,TUSAMY,UKRAMY,PRUFLT,TUSFLT,MOSAMY,STPSCS,FINAMY,GOLFLT,WALAMY,SYRAMY,BARFLT,FINFLT,WALFLT,SYRFLT,HELFLT,SWEAMY,BULAMY,PARAMY,BELAMY,APUAMY,SWEFLT,BOHAMY,BELFLT,APUFLT,HOLAMY,BULSCS,VENAMY,STPNCS,VIEAMY,HOLFLT,WARAMY,PICAMY,TYRAMY,VENFLT,ANKAMY,PICFLT,BURAMY,PIEAMY,GREAMY,ANKFLT,TYSFLT,BERAMY,SKAFLT,PIEFLT,CLYAMY,TRIAMY,GREFLT,IONFLT,BERFLT,SPAAMY,CLYFLT,TRIFLT,ADRFLT,ALBAMY,RUHAMY,NWGFLT,SPASCS,ALBFLT,LVNAMY,CONAMY,LVNFLT,PORAMY,LVPAMY,CONFLT,KIEAMY,DENAMY,NAFAMY,BREAMY,SMYAMY,PORFLT,LVPFLT,KIEFLT,WESFLT,DENFLT,NAFFLT,BREFLT,RUMAMY,SMYFLT,ARMAMY,BLAFLT,SPANCS,RUMFLT,EASFLT,MAOAMY,ARMFLT,MAOFLT,IRIFLT,BULECS,MARAMY,ROMAMY,GALAMY,MARFLT,ROMFLT,EDIAMY,EDIFLT,LONAMY,NAPAMY,NAOFLT,MUNAMY,LONFLT,OUTPUT
0,1901,[],[],AUS,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],ENG,[],RUS,[],[],RUS,[],[],[],ENG,[],[],RUS,[],[],[],[],[],[],[],[],[],[],[],ITA,[],[],ITA,[],AUS,[],GER,[],GER,[],[],[],[],[],TUR,[],[],[],[],[],[],[],[],[],[],[],ENG,AUS,[],[],[],[],[],[],[],[],[],FRA,[],TUR,[],[],[],[],[],[],[],[],[],GER,[],[],[],[],TUR,[],FRA,RUS,[],[],[],[],[],[],[],ITA,[],[],[],[],[],[],[],[],FRA,[],[]
1,1902,[],RUS,AUS,[],[],TUR,[],[],[],[],AUS,[],[],[],[],GER,RUS,[],[],GER,ENG,[],RUS,[],[],RUS,[],[],[],ENG,[],[],RUS,[],[],[],[],[],[],[],[],[],[],[],ITA,[],[],ITA,[],AUS,ENG,RUS,[],GER,[],[],[],FRA,FRA,TUR,[],[],[],[],[],[],[],[],[],[],[],ENG,AUS,[],[],[],[],[],AUS,[],[],[],FRA,[],TUR,[],[],[],[],TUR,[],ENG,GER,[],GER,FRA,[],[],[],TUR,[],FRA,RUS,[],[],[],[],[],TUR,[],ITA,[],[],[],[],[],[],[],[],FRA,[],[]
2,1903,[],RUS,AUS,[],[],TUR,[],[],[],ENG,AUS,FRA,FRA,[],[],GER,RUS,RUS,[],GER,ENG,[],RUS,[],[],RUS,[],[],[],ENG,[],[],RUS,[],[],[],[],[],[],[],[],RUS,[],[],ITA,[],[],ITA,[],AUS,ENG,RUS,[],GER,[],[],[],FRA,FRA,TUR,[],[],[],[],[],[],[],[],[],[],FRA,ENG,AUS,ITA,[],[],[],[],AUS,GER,[],[],FRA,[],TUR,FRA,[],[],[],TUR,[],ENG,GER,[],GER,FRA,[],[],[],TUR,[],FRA,RUS,[],[],[],[],[],TUR,[],ITA,GER,[],[],[],[],[],[],[],FRA,[],[]
3,1904,[],RUS,AUS,[],FRA,TUR,[],RUS,[],ENG,AUS,FRA,FRA,[],[],GER,RUS,RUS,[],GER,ENG,FRA,RUS,[],[],RUS,[],[],[],ENG,[],[],RUS,[],[],ENG,[],[],[],[],[],RUS,[],FRA,ITA,FRA,[],ITA,[],AUS,ENG,RUS,[],GER,[],[],[],FRA,FRA,TUR,[],FRA,[],[],[],[],[],[],TUR,[],FRA,ENG,AUS,ITA,[],[],[],[],AUS,GER,[],[],FRA,[],TUR,FRA,[],[],[],TUR,[],ENG,GER,FRA,GER,FRA,[],[],[],TUR,[],FRA,RUS,[],[],[],ENG,[],TUR,[],ITA,GER,[],[],[],[],ENG,[],[],FRA,[],[]
4,1905,FRA,RUS,AUS,[],FRA,TUR,[],RUS,[],ENG,AUS,FRA,FRA,[],[],GER,RUS,RUS,[],GER,ENG,FRA,RUS,[],[],RUS,[],[],[],ENG,[],[],RUS,[],[],ENG,[],[],[],[],ITA,RUS,[],FRA,ITA,FRA,[],ITA,[],AUS,ENG,RUS,[],GER,[],[],[],FRA,FRA,TUR,[],FRA,FRA,[],[],[],[],[],TUR,[],FRA,ENG,AUS,ITA,[],[],[],[],AUS,GER,[],[],FRA,[],TUR,FRA,[],[],FRA,TUR,[],ENG,GER,FRA,FRA,FRA,[],[],[],TUR,[],FRA,RUS,[],[],[],ENG,[],TUR,[],FRA,GER,[],[],[],[],ENG,[],[],FRA,[],[]
5,1906,FRA,RUS,AUS,[],FRA,TUR,[],RUS,[],ENG,AUS,FRA,FRA,[],[],RUS,RUS,RUS,[],GER,ENG,FRA,RUS,[],[],RUS,[],[],[],ENG,[],[],RUS,[],[],ENG,[],[],[],[],ITA,RUS,[],FRA,ITA,FRA,[],ITA,[],AUS,ENG,RUS,[],GER,[],TUR,[],FRA,FRA,TUR,[],TUR,FRA,[],[],[],AUS,AUS,ITA,[],FRA,ENG,AUS,ITA,[],[],[],[],AUS,RUS,[],[],FRA,[],TUR,FRA,[],[],FRA,TUR,[],ENG,GER,FRA,FRA,ENG,[],RUS,[],TUR,RUS,FRA,RUS,[],[],[],ENG,[],TUR,FRA,FRA,GER,[],[],[],[],ENG,[],[],FRA,[],[]
6,1907,FRA,RUS,AUS,[],FRA,TUR,[],RUS,[],ENG,AUS,FRA,FRA,[],[],RUS,RUS,RUS,[],FRA,FRA,FRA,RUS,[],[],RUS,[],[],[],ENG,[],[],RUS,[],[],ENG,[],[],[],[],ITA,FRA,[],FRA,ITA,FRA,[],FRA,[],AUS,ENG,RUS,[],AUS,[],TUR,[],FRA,FRA,TUR,[],TUR,FRA,[],[],[],AUS,AUS,ITA,[],FRA,ENG,AUS,ITA,[],[],[],[],AUS,RUS,[],[],FRA,[],TUR,FRA,[],[],FRA,TUR,[],ENG,GER,FRA,FRA,ENG,[],RUS,[],TUR,RUS,FRA,RUS,[],[],[],ENG,[],TUR,FRA,FRA,GER,[],[],[],[],ENG,[],[],FRA,[],[]
7,1901,FRA,RUS,AUS,[],FRA,TUR,[],ENG,[],ENG,AUS,FRA,ITA,RUS,[],RUS,RUS,RUS,[],FRA,FRA,FRA,RUS,[],[],RUS,[],[],[],ENG,[],[],RUS,[],[],ENG,[],[],FRA,[],ITA,FRA,[],FRA,ITA,FRA,[],ITA,[],AUS,GER,RUS,[],AUS,[],TUR,[],FRA,FRA,TUR,[],TUR,GER,[],[],[],AUS,AUS,ITA,[],FRA,ENG,AUS,ITA,[],[],[],[],AUS,RUS,[],[],FRA,[],TUR,FRA,[],[],FRA,TUR,[],ENG,GER,FRA,FRA,ENG,[],TUR,[],TUR,RUS,FRA,RUS,[],[],TUR,ENG,[],TUR,FRA,ITA,RUS,[],[],[],[],ENG,[],[],GER,ENG,[]
8,1902,FRA,RUS,TUR,[],FRA,TUR,[],ENG,[],ENG,AUS,GER,ITA,RUS,[],RUS,RUS,RUS,[],FRA,ENG,FRA,RUS,[],[],RUS,[],[],FRA,ENG,TUR,[],RUS,ENG,[],ENG,[],[],FRA,FRA,ITA,FRA,[],FRA,ITA,FRA,[],ITA,ENG,AUS,GER,RUS,FRA,AUS,[],TUR,[],FRA,FRA,TUR,RUS,TUR,GER,[],[],[],AUS,ITA,ITA,[],FRA,ENG,AUS,ITA,[],[],[],[],AUS,RUS,TUR,[],FRA,ENG,TUR,GER,[],[],FRA,TUR,[],ENG,GER,FRA,FRA,ENG,[],TUR,[],TUR,RUS,FRA,RUS,[],[],TUR,FRA,[],TUR,FRA,ITA,RUS,[],[],[],[],ENG,[],[],GER,ENG,[]
9,1903,FRA,RUS,TUR,[],FRA,TUR,[],ENG,[],ENG,AUS,GER,ITA,RUS,[],RUS,RUS,RUS,TUR,FRA,ENG,ITA,RUS,[],[],RUS,[],[],FRA,ENG,TUR,ENG,RUS,ENG,[],ENG,[],[],FRA,FRA,ITA,FRA,[],FRA,ITA,GER,[],ITA,ENG,RUS,GER,RUS,FRA,AUS,AUS,TUR,[],FRA,FRA,TUR,RUS,FRA,GER,[],[],[],AUS,ITA,ITA,[],FRA,ENG,AUS,ITA,[],[],[],[],AUS,RUS,TUR,[],FRA,ENG,RUS,GER,[],[],FRA,TUR,[],ENG,GER,FRA,FRA,ENG,FRA,RUS,[],TUR,RUS,FRA,RUS,[],[],TUR,FRA,[],TUR,FRA,ITA,RUS,[],[],[],[],ENG,[],ENG,GER,ENG,[]
